0;robert;22934111;sadasdascadscadca123;jvss667@gmail.com;combo;Chocolate;01/01/0001 00:00:00 
0;janna;22934111;rua dos aaaaa;sdasdas@gmai.com;furioso;Biscoito;01/01/0001 00:00:00 
0;joao victor;22934111;rua dos aaaaa;jvss667@gmail.com;furioso;Chocolate;01/01/0001 00:00:00
0;joao victor;22934111;rua dos aaaaa;jvss667@gmail.com;furioso;Chocolate;01/01/0001 00:00:00
0;joao victor;22934111;rua dos aaaaa;jvss667@gmail.com;furioso;Chocolate;01/01/0001 00:00:00
0;joao victor;22934111;rua dos aaaaa;jvss667@gmail.com;furioso;Chocolate;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
0;joao victoras;2293411123;rua dos aaaaabb;jvss667@gmail.comv;combo;Biscoito;01/01/0001 00:00:00
